mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	HairPin:3_smorz.	decrescendo_hairpin
7	7	49/2	49/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	133														0
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	134														0
7	7	26	26	0.0	1/2	1/2	Dynamic	4/4	2	1	0						p												
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	2	1	0																		
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	135														
7	7	53/2	53/2	1.0	5/8	5/8	Chord	4/4	2	1	1/4		1/4	1	136										22				
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	137														
7	7	24	24	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	138														
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	139														
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	140														
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	141														
7	7	24	24	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	142														
7	7	25	25	2.0	1/4	1/4	Chord	4/4	3	1	1/2		1/2	1	143														
7	7	27	27	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	144														
8	8	28	28	0.0	0	0	Spanner	4/4	2	1	0															0			
8	8	28	28	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	145											0			
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	146											0			
8	8	29	29	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	147											0			
8	8	117/4	117/4	0.0	5/16	5/16	Spanner	4/4	2	1	0																		
8	8	117/4	117/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32		1/32	1	148														
8	8	235/8	235/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	149														
8	8	59/2	59/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	150														
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	151														
8	8	30	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	152														
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	153														
8	8	31	31	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	154														
8	8	125/4	125/4	0.0	13/16	13/16	Spanner	4/4	2	1	0																		1
8	8	125/4	125/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	155										23				1
8	8	63/2	63/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	156										23				1
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	157														1
8	8	28	28	1.5	0	0	Chord	4/4	2	2	3/8		1/4	3/2	158														1
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	159														1
8	8	28	28	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	160														
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	161														
